AC Number,Booth Number 2017,SAD-BJP,AAP,INC,BSP,Others,Total Valid Vote
88,1,26.99,51.63,18.66,1.09,1.63,552
88,2,34.45,38.18,23.46,0,3.91,537
88,3,25.52,49.76,23.11,0.16,1.44,623
88,4,34.35,45.41,19.22,0.34,0.68,588
88,5,17.98,35.31,44.03,0.75,1.94,929
88,6,17.42,61.45,18.87,0.65,1.61,620
88,7,35.93,29.09,33.39,0.48,1.11,629
88,8,34.02,47.17,16.41,0.48,1.93,829
88,9,25.74,54.62,17.16,0.66,1.82,606
88,10,43.21,34.29,21.43,0.54,0.54,560
88,11,36.15,47.88,12.69,0.96,2.31,520
88,12,37.77,33.26,27.51,0.34,1.13,887
88,13,27.41,45.88,24.62,0.58,1.51,861
88,14,45.23,36.51,17.11,0.33,0.82,608
88,15,33.85,31.95,30.77,0.83,2.6,845
88,16,44.29,29.48,24.73,0.14,1.36,736
88,17,50.87,33.92,12.24,0.17,2.8,572
88,18,44.66,30.92,21.76,0.19,2.48,524
88,19,47.71,28.79,20.93,0.18,2.38,1094
88,20,42.27,41.31,13.63,0.43,2.36,932
88,21,25.21,49.04,22.86,0.64,2.24,936
88,22,19.2,41.68,36.24,1.23,1.64,974
88,23,19.58,43.52,33.73,0.66,2.51,756
88,24,36.5,46.69,15.7,0.28,0.83,726
88,25,21.7,50.48,26.53,0,1.29,622
88,26,28.24,50.09,20.07,0.36,1.24,563
88,27,29.34,45.56,23.7,0.28,1.13,709
88,28,30.44,21.77,45.16,0.6,2.02,992
88,29,26.44,46.66,25.51,0,1.4,643
88,30,29.38,34.92,34.62,0.15,0.92,650
88,31,26.56,39.53,30.75,0.61,2.55,979
88,32,29.78,51.75,17.04,0.32,1.11,628
88,33,28.77,35.96,30.63,2.09,2.55,431
88,34,27.88,39.28,28.55,1.07,3.22,746
88,35,23.38,39.69,32.92,2.1,1.91,1048
88,36,27.71,50.24,20.91,0.32,0.81,617
88,37,34.89,36.75,26.31,0.75,1.31,536
88,38,32.01,42.02,23.39,0.59,1.98,1009
88,39,26.01,46.38,25.77,0.12,1.72,815
88,40,33.73,22.71,41.89,0.49,1.18,1017
88,41,33.26,32.54,31.19,0.52,2.49,962
88,42,37.74,25.07,35.29,0.54,1.36,734
88,43,40.17,43.77,13.85,0.14,2.08,722
88,44,40.53,44.15,13.34,0.49,1.48,607
88,45,43.68,37.28,17.76,0.48,0.8,625
88,46,40.22,48.71,10.52,0,0.55,542
88,47,41.87,39.91,17.32,0.15,0.75,664
88,48,47.65,39.85,10.15,1.03,1.32,680
88,49,20.97,31.68,44.05,2.12,1.18,849
88,50,21.49,28.02,45.25,2.87,2.38,1010
88,51,20.78,56.14,21.35,0.57,1.15,871
88,52,15.53,34.47,39.76,8.48,1.76,908
88,53,21.47,46.08,30.72,0.78,0.94,638
88,54,17.98,50.18,31.11,0.36,0.36,823
88,55,14.7,25.5,30.12,28.96,0.72,694
88,56,15.07,52.54,30.9,1.04,0.45,670
88,57,14.02,43.43,34.9,5.98,1.67,1020
88,58,22.05,49.01,22.57,5.22,1.15,957
88,59,19.74,46.05,29.06,2.19,2.96,912
88,60,24.64,52.8,21.95,0.41,0.21,483
88,61,26.67,47.14,24.6,0.63,0.95,630
88,62,28.29,44.29,24.59,1.56,1.27,1025
88,63,20.81,49.26,28.08,0.62,1.23,812
88,64,31.95,38.23,27.53,0.29,2,701
88,65,21.4,56.48,20.49,0.09,1.54,1103
88,66,18.68,48.3,31.61,0.35,1.06,851
88,67,23.8,51.33,23.01,0.39,1.47,1017
88,68,22.3,51.36,24.12,0.4,1.82,991
88,69,27.24,41.99,29.33,0.16,1.28,624
88,70,26.54,47.95,23.97,0,1.54,584
88,71,18.21,39.84,39.72,0.94,1.29,851
88,72,25.72,49.2,23,0.48,1.6,626
88,73,21.57,51.29,26.34,0.3,0.5,1006
88,74,21.03,43.83,34.45,0.2,0.49,1013
88,75,13.48,42.55,42.43,0.24,1.3,846
88,76,21.87,40,37.2,0.67,0.27,750
88,77,19.88,43.79,34.78,0,1.55,322
88,78,25.67,44.2,29.91,0,0.22,896
88,79,23.84,53.3,21.99,0.22,0.65,923
88,80,13.81,36.37,48.21,0.99,0.62,811
88,81,13.99,29.08,55.47,0.24,1.22,822
88,82,20.92,34.42,43.14,0,1.53,459
88,83,24.94,33.79,41.04,0,0.23,441
88,84,21.63,31.4,46.63,0.23,0.12,860
88,85,18.6,30.9,48.64,0.43,1.43,699
88,86,18.92,27.25,52.51,0.53,0.79,756
88,87,19.43,25.75,53.77,0.45,0.6,664
88,88,13.33,30.64,54.56,0.46,1.03,878
88,89,26.23,33.92,36.19,1.39,2.27,793
88,90,29.21,32.95,35.55,0.52,1.77,962
88,91,23.44,37.62,35.54,1.32,2.08,529
88,92,26.27,35.76,35,1.15,1.82,1043
88,93,21.54,39.95,36.55,0.52,1.44,766
88,94,23.4,34.89,39.3,1.2,1.2,748
88,95,25.42,22.84,50.71,0.52,0.52,775
88,96,27.06,26.61,44.03,1.24,1.06,1131
88,97,24.06,37.33,36.79,0.21,1.6,935
88,98,31.44,42.32,24.91,0.48,0.85,827
88,99,18.6,39.13,41.06,0.36,0.85,828
88,100,16.77,50.87,29.65,1.84,0.87,924
88,101,21.38,27.28,48.33,1.45,1.56,898
88,102,32.13,25.72,38.77,2.17,1.21,828
88,103,17.16,34.62,46.33,0.79,1.09,1008
88,104,18.49,47.15,31.27,0.74,2.36,806
88,105,23.33,42.61,28.93,3.73,1.4,643
88,106,30.94,45.14,20.5,2.16,1.26,556
88,107,29.04,43.61,23.58,1.05,2.73,954
88,108,32.77,37.02,27.18,1.01,2.01,894
88,109,25.04,39,33.71,0.32,1.93,623
88,110,34.46,40.38,22.12,0.16,2.88,624
88,111,26.76,23.42,48.03,0.6,1.19,837
88,112,32.3,30.52,35.96,0.44,0.78,901
88,113,31.01,39.8,28.38,0.2,0.61,990
88,114,46.09,32.7,19.3,0.48,1.44,627
88,115,26.93,50.5,20.22,0.34,2.01,895
88,116,24.12,32.33,42.55,0.34,0.67,597
88,117,15.61,34,48.22,0.31,1.85,647
88,118,26.37,39.96,31.37,0.5,1.8,1001
88,119,35.25,20.41,42.26,1.12,0.96,627
88,120,37.37,21.97,37.89,1.04,1.73,578
88,121,36.41,27.72,34.9,0.28,0.69,725
88,122,28.25,51.01,19.28,0.56,0.9,892
88,123,22.14,35.51,40.27,0.59,1.49,673
88,124,26.94,45.85,23.32,1.3,2.59,386
88,125,32.72,54.64,11.11,0.2,1.33,981
88,126,34.72,29.06,35.04,0.32,0.85,936
88,127,27.65,30.15,40.64,0.21,1.35,962
88,128,39.71,32.57,25.71,0.14,1.86,700
88,129,29.95,39.74,27.27,2.21,0.82,858
88,130,30.95,43.48,23.58,1.19,0.8,1005
88,131,27.33,45.6,24.67,1.47,0.93,750
88,132,32.36,38.5,26.33,1.04,1.77,961
88,133,27.81,40.5,30.72,0.1,0.87,1032
88,134,36.85,33.26,26.18,0.9,2.81,890
88,135,26.19,49.67,20.32,2.14,1.68,1073
88,136,36.19,36.01,26.02,0.18,1.6,561
88,137,38.79,36.57,20.81,1.21,2.63,495
88,138,20.49,48.15,27.1,2.35,1.9,893
88,139,20.65,31.9,40.12,5.97,1.37,1022
88,140,26.78,43.42,26.08,1.05,2.68,859
88,141,39.11,31.46,26.56,0.6,2.27,836
88,142,47.07,17.58,33.79,0.49,1.07,1024
88,143,44.87,16.73,37.45,0.57,0.38,526
88,144,43.04,14.87,41.16,0.31,0.63,639
88,145,43.89,37.72,16.61,0.59,1.19,843
88,146,25.71,41.38,31.19,0.31,1.41,638
88,147,32.82,29.06,36.75,0.17,1.2,585
88,148,26.34,42.79,29.77,0.1,1.01,991
88,149,44.99,26.04,27.73,0.62,0.62,649
88,150,36.09,25.88,36.27,0.7,1.06,568
88,151,21.98,43.96,32.2,1.39,0.46,646
88,152,21.97,38.34,38.55,0.41,0.73,965
88,153,21.68,32.26,42.29,1.25,2.51,558
88,154,12.47,30.27,54.19,2.45,0.61,489
88,155,28.24,39.87,30.45,0.44,1,903
88,156,22.79,33.38,41.18,0.59,2.06,680
88,157,53.32,16.46,28.75,0.49,0.98,407
88,POSTAL,19.25,63.27,16.37,1.11,0,452
89,1,16.64,60.26,20.89,0.37,1.84,541
89,2,34.62,32.85,26.57,2.9,3.06,621
89,3,23.84,33.7,39.02,0.67,2.77,902
89,4,26.92,39.21,29.9,0.5,3.47,806
89,5,33.64,29.95,31.91,1.04,3.46,868
89,6,34.6,31.89,28.9,2.99,1.62,737
89,7,52.63,19.78,21.69,0.64,5.26,627
89,8,16.65,63.99,14.16,0.34,4.86,883
89,9,22.6,42.21,24.66,0.31,10.22,969
89,10,17.8,54.66,21.61,0.21,5.72,472
89,11,26.01,45.15,24.39,0.27,4.18,742
89,12,26.19,50.29,20.39,0.23,2.9,863
89,13,21.35,50.27,22.02,0.8,5.56,754
89,14,26.74,40.78,25.27,1.71,5.5,819
89,15,17.25,52.49,27.22,0,3.04,823
89,16,23.47,49.92,22.81,1.16,2.64,605
89,17,29.56,37.5,26.86,0.51,5.57,592
89,18,21.65,43.3,29.63,1.08,4.34,739
89,19,24.63,34.9,34.03,2.1,4.34,808
89,20,21.42,44.4,28.09,1.13,4.96,705
89,21,20.09,42.92,34.54,0.14,2.31,692
89,22,20.23,43.16,34.3,0.39,1.92,519
89,23,25.05,56.45,15.86,0.21,2.43,946
89,24,24.57,43.5,24.57,0.3,7.06,993
89,25,19.97,54.73,18.91,0.53,5.86,751
89,26,21.05,50.32,23.36,0.51,4.76,779
89,27,12.06,49.1,23.4,0.6,14.84,829
89,28,26.79,36.01,33.45,0.85,2.9,586
89,29,21.69,50.18,25.74,0,2.39,544
89,30,33.15,38.55,23.09,0.93,4.28,537
89,31,20.83,34.38,34.38,4.51,5.9,576
89,32,28.21,39.34,30.07,0.13,2.25,755
89,33,38.29,35.14,21.96,0.23,4.38,888
89,34,26.21,44.02,24.94,0.8,4.03,870
89,35,24.16,45.71,25.32,0.26,4.55,770
89,36,28.88,36.6,30.27,0.3,3.95,1011
89,37,23.13,48.67,22.65,0.6,4.95,830
89,38,28.1,18.02,48.27,0.65,4.96,1071
89,39,28.41,34.36,33.37,0.66,3.2,908
89,40,35.18,29.52,31.79,0.57,2.94,884
89,41,37.96,18.12,37.45,0.4,6.07,988
89,42,30.2,23.37,45.37,0.15,0.91,659
89,43,21.02,53.16,22.88,0.44,2.5,918
89,44,36.39,25.56,33.17,1.66,3.22,1025
89,45,31.56,27.17,38.04,0.52,2.71,957
89,46,42.66,19.67,34.81,0.55,2.31,1083
89,47,26.06,21.83,46.1,0.47,5.54,1063
89,48,29.22,32.25,34.98,0.3,3.25,989
89,49,25.19,52.96,19.27,0.32,2.26,929
89,50,50.36,26.02,22.06,0,1.56,834
89,51,42.54,17.34,36.88,0.23,3.01,865
89,52,16.88,45.89,33.33,0.65,3.25,924
89,53,21.69,46.95,19.14,0.71,11.51,982
89,54,23.51,34.99,39.11,0,2.39,923
89,55,27.97,49.34,20.32,0.4,1.97,758
89,56,22.24,58.98,16.53,0.41,1.84,490
89,57,22.88,40.78,32.29,1.57,2.48,765
89,58,25.26,40.06,28.4,3.14,3.14,669
89,59,24.69,47.53,26.03,0.21,1.54,972
89,60,28.53,38.24,27.35,1.67,4.21,1020
89,61,34.96,37.68,23.01,0.91,3.44,552
89,62,27.06,33.69,31.36,1.79,6.1,558
89,63,30.6,21.86,45.54,0.55,1.45,549
89,64,41.01,15.71,33.33,3.14,6.81,573
89,65,17.49,48.38,28.21,0.42,5.5,709
89,66,19.92,37.85,35.99,0.27,5.97,753
89,67,26.93,38.88,29.94,0.34,3.91,895
89,68,20.49,40.73,34.63,0.39,3.76,771
89,69,34.61,15.31,42.26,1.91,5.91,627
89,70,28.87,11.27,54.93,0.18,4.75,568
89,71,30.49,30.49,35.03,0.78,3.21,902
89,72,26.08,29.84,38.15,0.57,5.36,878
89,73,38.45,32.58,24.43,0.76,3.78,1056
89,74,37.46,28.99,29.8,0.16,3.59,614
89,75,41.39,30.56,25.73,0.19,2.13,517
89,76,24.92,29.79,42.05,0.3,2.94,987
89,77,28.57,32.09,36.4,0.59,2.35,511
89,78,19.07,56.31,22.54,0.7,1.38,1007
89,79,21.3,54.36,20.89,0.69,2.76,723
89,80,36.89,25.12,29.73,4.98,3.28,824
89,81,19.11,43.74,30.84,3.2,3.11,1031
89,82,22.82,36.79,30.11,6.89,3.39,973
89,83,28.67,38.66,27.67,1.14,3.86,701
89,84,25.39,29.54,29.66,4.86,10.55,843
89,85,34,27.36,35.72,0.4,2.52,753
89,86,43.14,29.54,24.05,0.78,2.49,765
89,87,38.08,19.67,34,4.71,3.54,956
89,88,23.01,20.1,49.81,4.05,3.03,791
89,89,28.62,39.05,27.03,4.42,0.88,566
89,90,35.7,28.98,31.48,0.38,3.46,521
89,91,30.93,33.81,31.96,0.52,2.78,970
89,92,45.53,24.16,27.09,0.59,2.63,683
89,93,37.06,30.46,28.71,0.13,3.64,742
89,94,27.12,39.36,30.32,0.83,2.37,719
89,95,33.27,45.6,19.18,0,1.95,511
89,96,33.76,49.14,14.22,0.57,2.31,696
89,97,39.33,48.74,9.24,0.17,2.52,595
89,98,33.59,38.23,24.19,0.32,3.67,926
89,99,24.65,35.79,33.24,2.17,4.15,1059
89,100,25.93,33.85,31.98,4.73,3.51,910
89,101,28.12,31.47,35.45,2.16,2.8,928
89,102,28.25,27.42,37.11,3.51,3.71,485
