AC Number,Booth Number 2017,SAD-BJP,AAP,INC,BSP,Others,Total Valid Vote
89,103,18.48,32.49,44.55,3.11,1.37,514
89,104,16.54,25.46,55.76,0.74,1.5,538
89,105,19.45,24.03,54.69,0,1.83,437
89,106,21.31,46.41,30.88,0.4,1,502
89,107,17.77,26.66,54.01,0.35,1.21,574
89,108,15.64,34.14,48.63,0.32,1.27,946
89,109,13.41,35.65,49.41,0.17,1.36,589
89,110,15.9,35.25,46.31,0.92,1.62,434
89,111,13.58,34.54,50.45,0.13,1.3,773
89,112,21.6,39.64,36.97,0.22,1.57,898
89,113,26.85,35.97,34.9,0.81,1.47,745
89,114,32.32,34.06,29.93,0.65,3.04,922
89,115,27.51,36.88,32.83,0.23,2.55,865
89,116,29.8,46.98,19.93,0.73,2.56,547
89,117,37.32,28.67,30.57,1.07,2.37,844
89,118,34.78,33,25.89,0.44,5.89,900
89,119,18.61,51.63,27.04,0.27,2.45,736
89,120,22.81,43.17,30.15,1.16,2.71,776
89,121,37.21,25.82,31.03,1.21,4.73,825
89,122,38.61,26.11,29.2,0.88,5.2,904
89,123,15.21,49.23,24.36,9.28,1.92,776
89,124,38.41,32.01,25.22,0.64,3.72,781
89,125,23.1,46.2,26.67,0.47,3.56,645
89,126,29.48,41.21,25.73,0.81,2.77,614
89,127,35.91,41.59,18.06,0.31,4.13,969
89,128,38.69,35.42,19.06,0,6.83,703
89,129,18.55,52.28,26.72,0.35,2.1,857
89,130,26.79,40.86,27.21,0.63,4.51,952
89,131,23,30.89,43.94,0.11,2.06,874
89,132,43.57,42.92,10.68,0.65,2.18,459
89,133,10.76,27.59,58.9,0,2.75,725
89,134,24.32,54.77,18.92,0.28,1.71,703
89,135,21.66,47.38,22.53,5.23,3.2,688
89,136,16.18,60.06,23.03,0,0.73,686
89,137,20.4,49.2,24.1,2.1,4.2,809
89,138,21.68,50.9,22.63,2.04,2.75,835
89,139,32.36,44.4,20.56,0.12,2.56,822
89,140,36.51,38.69,20.78,0.57,3.45,871
89,141,30.2,46.56,19.07,0.1,4.07,1033
89,142,49.9,33.9,13.81,0.48,1.91,1050
89,143,37.85,44,16.14,0.29,1.72,1041
89,144,25.66,41.27,29.59,1.42,2.06,916
89,145,21.14,54.59,22.15,0,2.12,894
89,146,22.95,41.42,32.24,0.98,2.41,915
89,147,25.48,46.13,24.95,0.65,2.79,930
89,148,27.82,35.02,35.02,0,2.14,931
89,149,29.96,35.32,31.06,0.49,3.17,821
89,150,36.71,30.39,28.55,1.71,2.64,760
89,151,23.48,32.67,39.89,0.42,3.54,707
89,152,31.1,44.33,22.16,0.52,1.89,582
89,POSTAL,15.13,66.9,16.31,0.71,0.95,423
