AC Number,Booth Number 2014,SAD-BJP,AAP,INC,BSP,Others,Total Valid Vote
88,108,11.04,49.69,33.87,0.74,4.66,815
88,109,29.91,36.71,28.76,0.72,3.9,692
88,110,29.76,34.3,29.22,0.73,5.99,551
88,111,26.42,49.81,20,0,3.77,530
88,112,28.35,31.06,36.73,0.26,3.61,776
88,113,34.41,27.58,35.49,0,2.52,834
88,114,22.2,45.31,29.52,0.11,2.86,874
88,115,47.21,35.69,12.83,0,4.28,538
88,116,26.8,56.86,13.33,0.26,2.75,765
88,117,26.79,34.29,35.41,1.59,1.91,627
88,118,30.14,38.49,26.07,1.22,4.07,491
88,119,40.51,30.24,24.82,1.28,3.14,701
88,120,20.5,72.54,5.52,0.12,1.32,834
88,121,7.28,77.83,3.21,0.51,11.17,591
88,122,20.86,74.29,3.71,0.29,0.86,350
88,123,36.42,42.68,15.64,0.78,4.47,895
88,124,32.65,38.3,25.57,0.24,3.24,833
88,125,40.85,35.47,20.71,0.57,2.4,874
88,126,45.12,21.32,30.41,0.17,2.98,605
88,127,33.78,32.33,31.33,0.33,2.22,900
88,128,32.02,41.11,20.62,3.53,2.71,737
88,129,40.5,16.03,38.97,2.09,2.41,911
88,130,41.65,17.12,38,0.21,3.03,958
88,131,34.94,24.21,36.97,0,3.88,541
88,132,20.49,24.25,48.12,0.38,6.77,532
88,133,24.36,46.3,25.33,0.73,3.27,825
88,134,18.02,50,24.51,4.07,3.41,910
88,135,28.45,49.78,17.67,0.43,3.66,464
88,136,27.01,41.94,25.59,1.66,3.79,422
88,137,30.03,35.2,30.46,0.57,3.74,696
88,138,26.18,44.41,18.09,1.47,9.85,680
88,139,18,28.25,40.38,4.75,8.62,800
88,140,26.03,45.23,24.89,0.14,3.7,703
88,141,37.24,32.43,27.03,0.3,3,666
88,142,52.95,6.99,32.86,0.98,6.22,916
88,143,52.77,14.76,29.15,0,3.32,542
88,144,63.86,9.24,23.93,0.83,2.15,606
88,145,44.67,30.49,21.2,0.63,3.01,797
88,146,25.68,40.15,22.59,0.39,11.2,518
88,147,29.04,37.99,29.91,0,3.06,458
88,148,29.98,49.65,16.09,0.35,3.94,864
88,149,34.63,40.78,21.11,0.2,3.28,488
88,150,37.05,41.82,17.73,0,3.41,440
88,151,15.84,57.47,21.89,0.89,3.91,562
88,152,26.97,46.58,21.03,0.65,4.77,775
88,153,23.02,43.26,28.14,1.63,3.95,430
88,154,15.58,45.12,33.02,0.47,5.81,430
88,155,24.45,47.4,25.41,0.41,2.32,732
88,156,19.43,52.19,25.14,0,3.24,525
88,157,52.88,12.3,31.41,0.52,2.88,382
89,1,21.78,72,5.11,0,1.11,450
89,2,24.84,60.39,10.71,1.07,3,467
89,3,23.96,53.53,20.94,0,1.57,893
89,4,20.59,56.19,20.74,0.31,2.17,646
89,5,25.51,53.21,18.41,0.84,2.03,592
89,6,25.23,48.75,20.56,0.47,4.98,642
89,7,33.2,30.52,16.91,3.3,16.08,485
89,8,16.15,67.97,9.83,0.54,5.52,743
89,9,15.41,57.38,19.3,0.39,7.51,772
89,10,21.15,59.34,10.99,0.27,8.24,364
89,11,21.66,58.46,17.36,0,2.52,674
89,12,24.47,60.05,13.62,0.4,1.46,756
89,13,23.74,53.46,20.28,0,2.52,636
89,14,20.31,57.05,18.14,1.09,3.41,645
89,15,17.58,49.74,30.73,0.13,1.82,768
89,16,23.92,54.91,18.59,0,2.58,581
89,17,17.86,55.53,19.03,4.27,3.3,515
89,18,19.87,57.84,18.74,0.16,3.39,619
89,19,24.46,48.62,16.31,1.85,8.77,650
89,20,22.01,48.01,22.18,1.21,6.59,577
89,21,24.25,51.99,19.77,0,3.99,602
89,22,26.45,46.87,23.2,0,3.48,431
89,23,30.94,54.03,11.44,0.22,3.38,918
89,24,17.99,51.17,22.68,0,8.16,895
89,25,18.72,56.16,18.72,0.16,6.24,641
89,26,20.29,49.57,25.07,0.43,4.64,690
89,27,12.92,49.58,26.4,0.28,10.81,712
89,28,23.88,53.95,18.9,0.52,2.75,582
89,29,24.3,48.8,24.1,0.2,2.59,502
89,30,34.67,47.9,15.23,0.2,2,499
89,31,25.5,32.13,29.72,0.2,12.45,498
89,32,27.66,48.33,21.98,0.29,1.75,687
89,33,25.73,51.86,15.78,1.46,5.17,754
89,34,24.79,52.58,17.48,0.86,4.3,698
89,35,19.18,52.58,20.43,0.36,7.46,563
89,36,24.75,41.38,21.38,0.62,11.88,800
89,37,24.84,49.69,18.55,0.31,6.6,636
89,38,26.67,21.95,46.54,0.99,3.84,911
89,39,25.26,36.18,33.95,0.13,4.47,760
89,40,41.72,33.25,21.59,0.53,2.91,755
89,41,42.51,25.6,27.89,0.57,3.43,875
89,42,34.29,24.84,38.78,0.16,1.92,624
89,43,24.74,52.98,18.26,0.52,3.5,772
89,44,33.22,37.49,23.28,1.97,4.04,915
89,45,24.09,49.81,22.97,0.12,3,801
89,46,38.12,35.82,22.5,0,3.56,871
89,47,30.73,32.22,31.6,0.37,5.08,807
89,48,32.61,40.23,23.48,0.38,3.3,788
89,49,33.16,52.52,12.52,0.13,1.68,775
89,50,59.82,19.52,18.88,0,1.79,784
89,51,52.25,10.94,33.72,0.13,2.96,777
89,52,33.11,46.42,18.37,0,2.09,909
89,53,34.17,21.49,41.49,0,2.86,875
89,54,39.63,16.15,35.97,0.23,8.02,873
89,55,46.95,31.54,19.48,0.15,1.89,688
89,56,32.74,41.87,23.61,0,1.78,449
89,57,25.4,51.28,19.17,0.16,3.99,626
89,58,19.57,51.07,24.02,0.89,4.45,562
89,59,23.42,57.24,15.61,0.34,3.39,884
89,60,36.32,42.79,16.12,1.7,3.06,881
89,61,27.14,50.71,17.38,1.19,3.57,420
89,62,31.81,42.32,19.68,2.7,3.5,371
89,63,38.15,22.89,36.35,0.4,2.21,498
89,64,42.45,21.22,29.45,4.4,2.49,523
89,65,37.97,32.14,26.61,0.15,3.14,669
89,66,35.89,36.87,23.46,0,3.77,716
89,67,26.24,36.18,30.19,0.13,7.26,785
89,68,21.31,37.9,33.33,0.61,6.85,657
89,69,27.78,46.54,21.23,1.23,3.21,810
89,70,33.41,46.06,15.75,0.48,4.3,419
89,71,35.51,31.67,27.83,1.15,3.84,521
89,72,28.94,20.16,47.11,0.6,3.19,501
89,73,35.57,38.44,23.23,0.48,2.28,835
89,74,31.04,36.77,29.1,0,3.09,873
89,75,41.06,36.28,20,0.43,2.23,940
89,76,36.9,35.12,24.06,0.18,3.74,561
89,77,45.73,34.19,19.09,0,0.99,503
89,78,23.38,58.39,15.55,0.41,2.27,971
89,79,36.86,41.12,17.91,0.73,3.38,681
