AC Number,Booth Number 2012,SAD-BJP,AAP,INC,BSP,Others,Total Valid Vote
88,1,45.64,0,38.43,1.04,14.9,1054
88,2,44.98,0,35.78,0.93,18.31,1076
88,3,36.81,0,35.73,0.24,27.22,834
88,4,46.96,0,31.53,0.66,20.85,609
88,5,54.09,0,31.62,0,14.29,623
88,6,54.21,0,21.89,0.38,23.52,795
88,7,38.54,0,25.49,1.38,34.58,506
88,8,47.56,0,41.95,0.61,9.88,820
88,9,40.02,0,37.9,1.53,20.54,847
88,10,56.75,0,31.99,0.95,10.31,844
88,11,69.88,0,17.69,0.18,12.26,571
88,12,55.65,0,37.27,0.12,6.96,805
88,13,69.45,0,14.12,0,16.43,694
88,14,59.85,0,21.8,1.05,17.3,1046
88,15,58,0,23.6,2.2,16.2,1000
88,16,54.04,0,20.18,0.22,25.56,892
88,17,39.87,0,23.66,0.44,36.04,913
88,18,41.56,0,21.12,0.78,36.54,895
88,19,44.6,0,19.67,0.69,35.04,722
88,20,49.63,0,28,0.15,22.22,675
88,21,48,0,18.85,0.09,33.05,1077
88,22,43.41,0,27.69,0.9,27.99,668
88,23,35.45,0,44,0.69,19.86,866
88,24,44.34,0,32.84,0.74,22.08,539
88,25,42.65,0,32.12,1.27,23.96,551
88,26,33.75,0,44.36,1.81,20.09,886
88,27,55.53,0,20.76,0.74,22.97,814
88,28,45.39,0,18.61,1.51,34.49,661
88,29,39.41,0,18.64,4.96,36.98,987
88,30,46.18,0,19.42,2.92,31.48,1061
88,31,46.67,0,37.44,2,13.89,900
88,32,53.79,0,30.76,2.13,13.32,751
88,33,43.45,0,22.69,1.02,32.84,886
88,34,46.61,0,34.14,0.98,18.27,914
88,35,46.55,0,31.68,1.2,20.57,666
88,36,56.5,0,34.03,1.08,8.39,1108
88,37,62.69,0,31.97,0.19,5.15,1048
88,38,65.97,0,29.57,0.35,4.11,1143
88,39,39.01,0,34.7,1.19,25.11,928
88,40,39.94,0,30.03,7.18,22.84,696
88,41,43.54,0,28.05,3.87,24.53,852
88,42,45.12,0,27.51,0.55,26.82,727
88,43,44.19,0,24.49,0.76,30.56,792
88,44,49.66,0,23.66,2.18,24.5,596
88,45,43.31,0,21.95,0.59,34.15,852
88,46,38.61,0,27.23,13.37,20.79,606
88,47,45.15,0,21.68,1.62,31.55,618
88,48,32.95,0,39.54,8.55,18.96,865
88,49,34.9,0,40.22,9.53,15.35,808
88,50,38.18,0,31.98,8.47,21.37,791
88,51,41.44,0,29.89,2.33,26.33,900
88,52,44.77,0,37.66,4.39,13.18,956
88,53,34.67,0,46.31,2,17.02,799
88,54,39,0,41.36,1.62,18.02,677
88,55,42.65,0,17.41,0.52,39.42,959
88,56,32.29,0,29.76,1.34,36.61,672
88,57,45.27,0,26.46,0.24,28.03,824
88,58,40.76,0,35.72,0.67,22.84,893
88,59,35.06,0,39.79,1.25,23.91,1121
88,60,32.32,0,39.29,1.52,26.87,789
88,61,54.89,0,26.59,0.69,17.84,583
88,62,41.35,0,30.56,0.85,27.24,936
88,63,38.24,0,26.84,0.61,34.31,991
88,64,34.11,0,25.99,0.12,39.78,812
88,65,45.64,0,27.47,0,26.9,699
88,66,38.01,0,32.71,0,29.28,321
88,67,48.16,0,29.39,0.11,22.35,895
88,68,48.38,0,26.09,0.11,25.42,893
88,69,29.78,0,32.54,3.59,34.09,836
88,70,34.59,0,29.11,0.34,35.96,876
88,71,40.86,0,24.35,0.21,34.59,957
88,72,39.34,0,22.09,0.55,38.02,910
88,73,34.83,0,28.41,1.29,35.48,778
88,74,31.92,0,31.13,3.44,33.51,755
88,75,28.41,0,36.73,0.47,34.38,637
88,76,29.74,0,36.73,2.37,31.16,844
88,77,33.15,0,30.37,2.77,33.7,721
88,78,39.07,0,31.79,1.99,27.15,906
88,79,36.76,0,33.47,1.44,28.34,487
88,80,40.77,0,26.54,2.53,30.16,829
88,81,30.4,0,24.64,1.92,43.04,625
88,82,36.65,0,31.67,1.94,29.74,723
88,83,50.69,0,29.56,0.41,19.34,724
88,84,42.39,0,35.8,0.41,21.4,986
88,85,40.43,0,23.94,1.28,34.36,940
88,86,48.03,0,22.65,1.07,28.25,839
88,87,50.87,0,28.53,1.35,19.25,743
88,88,42.8,0,28.91,5.96,22.33,806
88,89,37.53,0,36.34,10.57,15.56,842
88,90,41.18,0,31.23,9.1,18.49,714
88,91,34.26,0,36.52,5.91,23.31,931
88,92,49.43,0,23.37,1.53,25.67,783
88,93,38.33,0,30.98,4.87,25.82,1007
88,94,36.68,0,23.49,5.03,34.8,796
88,95,46.4,0,16,1.34,36.26,819
88,96,43.09,0,14.73,1.66,40.52,543
88,97,50.86,0,17.47,0.38,31.29,521
88,98,36,0,16.95,0.25,46.81,814
88,99,54.98,0,29.74,0.47,14.81,844
88,100,40.22,0,13.21,0.4,46.17,992
88,101,65.54,0,15.25,0.75,18.46,531
88,102,52.25,0,11.91,0.23,35.61,865
88,103,48.13,0,32.95,5.76,13.16,1041
88,104,50.56,0,38.42,1.84,9.18,708
88,105,56.67,0,19.67,0.67,23,900
88,106,38.22,0,24.46,0.99,36.34,1010
88,107,54.87,0,18.69,0.77,25.66,904
88,108,48.65,0,32.47,1.12,17.75,890
88,109,60.96,0,24.74,2.19,12.11,958
88,110,56.54,0,32.44,0.79,10.24,635
88,111,39.87,0,18.18,5.7,36.25,913
88,112,36.5,0,21.05,7.91,34.55,822
88,113,40.88,0,26.8,4.95,27.36,888
88,114,49.95,0,20.02,1.46,28.57,959
88,115,42.09,0,14.31,0.17,43.43,594
88,116,31.14,0,18.18,3.7,46.97,594
