AC Number,Booth Number 2012,SAD-BJP,AAP,INC,BSP,Others,Total Valid Vote
88,117,40.47,0,29.53,3.95,26.05,860
88,118,30.81,0,22.74,15.16,31.29,1029
88,119,38.91,0,27.27,3.23,30.6,1023
88,120,45.23,0,32.51,1.59,20.66,692
88,121,37.93,0,24.49,4.76,32.82,841
88,122,26.64,0,27.41,12.21,33.74,901
88,123,41.33,0,25.29,0.78,32.59,767
88,124,55.93,0,23.97,0.62,19.48,801
88,125,52.54,0,31.18,0.86,15.43,927
88,126,52.99,0,33.49,1.01,12.51,1087
88,127,38.08,0,30.7,4.27,26.94,772
88,128,31.05,0,25.37,1.18,42.41,1021
88,129,47.75,0,20.05,0.23,31.98,888
88,130,61.77,0,22.12,0.35,15.75,1130
88,131,38.29,0,26.74,1.58,33.39,632
88,132,51.6,0,24.2,3.88,20.32,876
88,133,40.87,0,27.38,1.93,29.82,986
88,134,49.09,0,24.89,0.23,25.8,880
88,135,37.99,0,29.67,0.63,31.71,637
88,136,50,0,23.06,0,26.94,360
89,1,47.93,0,22.58,3.25,26.23,1014
89,2,35.85,0,44.84,0.41,18.9,979
89,3,41.15,0,46.79,0.66,11.4,763
89,4,43.1,0,39.54,1.42,15.93,703
89,5,22.27,0,44.4,3.26,30.07,705
89,6,41.98,0,30.86,1.59,25.57,567
89,7,31.72,0,30.01,1.11,37.16,993
89,8,28.76,0,38.6,1.34,31.3,671
89,9,32.95,0,29.47,0.23,37.35,431
89,10,41.13,0,27.13,0.51,31.23,586
89,11,46.07,0,14.5,0.49,38.94,814
89,12,26.98,0,26.84,1.01,45.17,693
89,13,36.71,0,24.92,1.67,36.71,899
89,14,34.47,0,47.47,0.88,17.18,908
89,15,47.39,0,29.37,1.13,22.11,882
89,16,34.81,0,24.07,3.58,37.53,810
89,17,39.61,0,53.77,3.38,3.25,770
89,18,26.92,0,59.76,1.78,11.54,676
89,19,36.95,0,52.78,0.86,9.42,701
89,20,38.39,0,55.31,0.22,6.07,461
89,21,46.94,0,28.87,0.31,23.88,963
89,22,38.32,0,39.32,1.2,21.16,1002
89,23,40.38,0,37.91,1.9,19.81,1055
89,24,31.42,0,40.19,1.32,27.08,1060
89,25,35.83,0,45.81,0.6,17.76,1002
89,26,38.31,0,42.35,1.01,18.33,1091
89,27,31.07,0,37.86,0.54,30.53,737
89,28,34.25,0,25.89,4.65,35.2,838
89,29,41.93,0,35.3,1.2,21.57,830
89,30,35.57,0,47.2,1.12,16.11,714
89,31,36.67,0,43.87,1.61,17.85,930
89,32,35.69,0,48.98,0.68,14.65,737
89,33,32.86,0,51.57,1.08,14.49,925
89,34,33.84,0,48.66,1.52,15.99,857
89,35,39.76,0,43.33,0.71,16.19,840
89,36,38.44,0,52.48,1.69,7.39,947
89,37,39.69,0,52.62,0.62,7.08,650
89,38,38.07,0,46.47,1.79,13.66,893
89,39,36.36,0,51.65,1.9,10.09,1001
89,40,41.85,0,51.61,0.43,6.12,932
89,41,43.1,0,52.27,1.11,3.52,993
89,42,37.22,0,42.04,1.25,19.48,1037
89,43,46.35,0,33.09,0.63,19.94,958
89,44,41.48,0,25.83,0,32.69,933
89,45,47.62,0,31.08,0.66,20.63,756
89,46,40.56,0,52.89,0.26,6.29,779
89,47,49.61,0,45.86,0.55,3.98,905
89,48,39.33,0,51.39,0.23,9.05,862
89,49,44.06,0,46.84,1.22,7.88,901
89,50,37.78,0,41.25,1.39,19.58,720
89,51,29.53,0,44.61,0.43,25.43,464
89,52,33.9,0,46.27,0.7,19.13,711
89,53,42.67,0,38.22,0.66,18.45,607
89,54,35.73,0,37.4,1.15,25.73,960
89,55,38.67,0,35.9,5.33,20.1,975
89,56,35.81,0,41.4,9.97,12.82,983
89,57,49.21,0,43.24,3.54,4.01,1073
89,58,46.65,0,46.22,1.43,5.71,701
89,59,42.39,0,44.84,0.27,12.5,736
89,60,41.15,0,46.19,0.82,11.84,853
89,61,34.15,0,54.47,1.63,9.76,738
89,62,41.5,0,49.39,4.73,4.37,824
89,63,47.87,0,41.49,5.32,5.32,470
89,64,44.46,0,50.57,1.82,3.15,1046
89,65,48.14,0,44.31,0.84,6.71,835
89,66,39.06,0,53.57,0.33,7.03,896
89,67,53.08,0,36.47,1.46,8.99,957
89,68,53.01,0,39.06,0.6,7.33,996
89,69,31.8,0,58.68,2.51,7.02,997
89,70,49.66,0,28.65,1.36,20.33,733
89,71,40.06,0,40.62,4.48,14.85,714
89,72,32.66,0,45.95,7.32,14.08,888
89,73,29.15,0,38.21,14.42,18.23,971
89,74,39.89,0,38.74,0.86,20.52,697
89,75,39.15,0,44.44,4.89,11.51,756
89,76,38.52,0,53.69,0,7.79,745
89,77,41.91,0,49.71,1.62,6.76,680
89,78,28.12,0,49.31,6.37,16.2,722
89,79,21.7,0,43.85,5.46,28.98,659
89,80,47,0,38.53,2.95,11.52,1085
89,81,35.18,0,56.29,1.27,7.27,867
89,82,45.19,0,47.31,0.65,6.85,613
89,83,42.84,0,48.54,2,6.63,649
89,84,44.46,0,47.63,0.29,7.63,695
89,85,64.18,0,26.01,0.21,9.59,469
89,86,55.25,0,40.17,0,4.58,590
89,87,63.65,0,30.77,0.38,5.19,520
89,88,39.91,0,53.95,0.55,5.59,912
89,89,32.62,0,60.77,1.6,5.01,938
89,90,32.51,0,53.36,6.36,7.77,849
89,91,25.5,0,67.26,4.2,3.04,953
89,92,34.86,0,53.52,5.33,6.29,525
89,93,24.44,0,59.07,7.04,9.44,540
89,94,28,0,67.92,0.21,3.87,957
89,95,45.99,0,47.16,0.78,6.07,511
89,96,27.12,0,67.7,0.35,4.84,579
89,97,32.11,0,64.65,0.22,3.03,925
89,98,33.17,0,61.41,0.99,4.43,609
89,99,40.55,0,52.85,0.91,5.69,439
89,100,29.95,0,64.59,0.13,5.33,788
89,101,42.77,0,48.48,0.38,8.38,788
89,102,41.32,0,47.48,0.95,10.25,634
89,103,29.93,0,60.56,2.23,7.28,852
89,104,42.89,0,45.91,0.38,10.82,795
89,105,44.37,0,44.37,1.11,10.16,994
89,106,52.26,0,40.55,0.79,6.4,1016
89,107,36.46,0,25.83,6.43,31.27,809
89,108,31.46,0,38,2.07,28.47,871
89,109,32.75,0,38.57,0.27,28.42,739
89,110,31.69,0,44.55,2.86,20.91,770
89,111,27.91,0,54.31,12.04,5.75,731
89,112,42.69,0,48.77,2.75,5.79,691
89,113,44.62,0,46.2,1.74,7.44,632
89,114,39.21,0,51.64,2.25,6.91,579
89,115,35.01,0,57.81,1.14,6.04,877
89,116,50.43,0,44.13,0.72,4.73,698
89,117,35.39,0,39.07,1.54,23.99,842
89,118,40.89,0,49.72,2.91,6.48,895
89,119,41.1,0,51.68,1.25,5.98,803
89,120,48.6,0,30.14,0.93,20.33,428
89,121,33.61,0,49.67,1.15,15.57,610
89,122,51.67,0,37.85,0.58,9.9,687
89,123,37.36,0,36.09,19.87,6.68,629
89,124,41.88,0,45.94,2.97,9.22,640
89,125,32.6,0,43.62,13.86,9.92,635
89,126,46.46,0,38.16,3.76,11.62,904
89,127,37.95,0,43.56,0.27,18.22,730
89,128,32.62,0,42.98,1.14,23.26,791
89,129,32.69,0,60.58,0.6,6.13,832
89,130,47.74,0,45.95,0.84,5.47,951
89,131,54.97,0,40.82,0.32,3.89,926
89,132,36.85,0,48.45,1.26,13.43,871
89,133,34.09,0,44.82,0.24,20.86,839
89,134,26.43,0,41.19,22.46,9.93,806
89,135,25.73,0,37.07,23.41,13.78,820
89,136,28.86,0,65.46,0.48,5.19,828
89,137,42.24,0,49.53,1.75,6.48,741
89,138,39.67,0,50.53,3.17,6.64,663
89,139,41.03,0,46.18,1.03,11.76,680
89,140,51.8,0,32.89,0.19,15.12,529
